,Unnamed: 0.1,Unnamed: 0,price,artist,fame,title,yearCreation,signed,condition,period,movement
405,405,405,1.500 USD,Arnold Genthe,0.0,New Mexico,Circa 1900,Signed and titled in pencil on the image.,"This warm-toned print, on paper with a nearly matte, eggshell surface, is in generally good to very good condition. The following are visible: uneven, minor silvering; deposits of original retouching; a small loss and a sharp crease that appears to break the emulsion near the upper left corner; linear abrasions under the signature; a few superficial scratches; and discoloration in the the upper left corner.  The reverse is soiled and there are remnants of a previous mount. '124.005.307' is written in pencil in an unidentified hand.",Modern,Realism
406,406,406,8.000 USD,Andrew Moore,87.0,"Salon Verde, Havana, Cuba, 1998",1998,"Signed, titled and dated verso",Some smudges on back side of plexiglass near the top.Not examined outside of frame.,Post-War,Realism
407,407,407,27.000 USD,Alex Katz,190.0,Chance 3 (Darinka),2016,"Signed and numbered lower left front, stamped © Alex Katz, Lococo Fine Art Publisher 2016, verso lower right",Excellent condition.Not examined out of frame.,Contemporary,Pop Art
408,408,408,9.000 USD,Kim Gottlieb Walker,128.0,Bob Marley Smoking,1975,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
409,409,409,3.000 USD,Kim Gottlieb Walker,128.0,Bob Marley,1975,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
410,410,410,3.000 USD,Kim Gottlieb Walker,128.0,"Carol King and James Taylor, London ",1971,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
411,411,411,3.000 USD,Kim Gottlieb Walker,128.0,Rod Stewart,1970,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
412,412,412,3.000 USD,Kim Gottlieb Walker,128.0,Andy Warhol Smiling (Unusual),1970,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
413,413,413,2.500 USD,Kim Gottlieb Walker,128.0,"Bob Marley Bare Chest at Window, Jamaica ",1975,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
414,414,414,2.500 USD,Kim Gottlieb Walker,128.0,Jimi Plays Backstage at The Shrine,1967,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
415,415,415,75.000 USD,Biff Elrod,0.0,Ceiling Painting,2018,Signed verso ,This work is in excellent condition.,Contemporary,Pop Art
416,416,416,3.800 USD,Arie Smit,0.0,Bathing Place,1974,"Signed, titled, and dated in the lower left corner.",This work is in very good condition.Minor scuffs to frame with tear to paper backing.Art not examined outside of frame.,Post-War,Expressionism
417,417,417,1.200 USD,ROBERT KELLY,147.0,Asana II,1989,Signed and dated in pencil lower right.,This work is in good condition.Creasing to margins at lower right.Spots at blind stamp at lower left corner.Small spots in margin at left center.,Post-War,Abstract
418,418,418,71.500 USD,Larry Bell,117.0,New Test #1,2003,"Signed, titled and dated bottom right corner recto",Not examined out of frame.Moderate sheet undulation due to artist's chosen working materials. ,Contemporary,Minimalism
419,419,419,6.000 USD,Maurice Braun,0.0,Harbor at Cape Cod,Early 20th Century ,Signed Maurice Braun lower right corner recto,This work has not been examined out of its frame.,Modern,Impressionism
420,420,420,7.000 USD,Maurice Braun,0.0,On the River,Circa 1930 - 1939,Signed Maurice Braun lower right corner recto; title hand-written on stretcher bar ,Not examined out of frame.Canvas slightly loose in frame.,Modern,Impressionism
421,421,421,15.000 USD,Francesco Correggia,0.0,I Am Alone,2013,Signed verso ,This work is in excellent condition.,Contemporary,Abstract
422,422,422,7.500 USD,Julius Lumsdem,0.0,Monolith III,2005,Signed verso in graphite,Overall excellent condition. ,Contemporary,Abstract
